TrackName,Duration,Number of Instruments,Max Frequency,Min Frequency,TrackNumber
Track00001,241.55725,11,7062.5,0.0,1
Track00002,190.3804375,12,7601.5625,0.0,2
Track00003,218.720375,9,7242.1875,0.0,3
Track00004,232.5943125,9,6296.875,0.0,4
Track00005,247.15325,14,7445.3125,0.0,5
Track00006,246.352125,15,7070.3125,0.0,6
Track00007,246.863,10,6492.1875,0.0,7
Track00008,259.622375,7,5296.875,0.0,8
Track00009,160.6240625,13,6601.5625,0.0,9
Track00010,181.8935625,7,6968.75,0.0,10
Track00011,197.9269375,9,7007.8125,0.0,11
Track00012,307.7456875,12,4687.5,0.0,12
Track00013,222.19175,9,7500.0,0.0,13
Track00014,274.18125,12,7085.9375,0.0,14
Track00015,246.932625,7,5945.3125,0.0,15
Track00016,202.71025,16,5898.4375,0.0,16
Track00017,313.7480625,11,7109.375,0.0,17
Track00018,296.7510625,18,7492.1875,0.0,18
Track00019,231.7235625,15,3921.875,0.0,19
Track00020,347.7536875,10,7265.625,0.0,20
